key	surface	english	sv
home.race.ariaFallback	home	Race on the selected track	
home.race.startError	home	{message} Choose on-screen steering in Settings to continue without motion.	
home.race.startErrorFallback	home	The race could not start. Choose on-screen steering in Settings to continue without motion.	
lot.layout.subtitle	lot	Choose your car	
lot.layout.back	lot	< BACK	
lot.layout.back.aria	lot	Back to track selection	
lot.layout.race	lot	RACE!	
lot.layout.attributes	lot	ATTRIBUTES	
lot.layout.attributesHelp.aria	lot	What do the attributes mean?	
lot.a11y.chooseCar	lot	Choose car	
lot.a11y.chooseCarColour	lot	Choose car colour	
lot.a11y.carInformation	lot	Car information	
lot.a11y.stat.topSpeed	lot	Top speed	
lot.a11y.stat.acceleration	lot	Acceleration	
lot.a11y.stat.control	lot	Control	
lot.a11y.stat.drift	lot	Drift	
lot.a11y.stat.boostPower	lot	Boost power	
lot.a11y.stat.boostTank	lot	Boost tank	
lot.a11y.statValue	lot	{label}. {value} out of 5.	
lot.paint.lock.item	lot	Vehicle paint controls	
lot.paint.lock.title	lot	PAINTJOB	
lot.paint.lock.aria	lot	Paintjob locked. Vehicle paint controls unlock at {threshold} trophies on Trophy Road.	
lot.lock.vehicleFallback	lot	Vehicle	
lot.secret.superSedan.name	lot	Super Sedan	
lot.secret.superSedan.badge	lot	SECRET UNLOCKED	
lot.secret.superSedan.message	lot	Spoiler color code #666 maxes every attribute. Lap results with this secret car are not saved.	
lot.secret.superSedan.aria	lot	Super Sedan unlocked. Spoiler color code #666 maxes every attribute. Lap results with this secret car are not saved.	
rivals.race.cancel	rivals	Cancel	
rivals.onboarding.chaseBest	rivals	CHASE YOUR BEST	
settings.playerMarker.title	settings	Player marker	
settings.playerMarker.on	settings	On	
settings.playerMarker.onHelp	settings	Always show the marker above your car while racing.	
settings.playerMarker.auto	settings	Auto	
settings.playerMarker.autoHelp	settings	Show the marker only when another car is close.	
settings.playerMarker.off	settings	Off	
settings.playerMarker.offHelp	settings	Never show the player marker.	
settings.playerMarker.statusAuto	settings	Player marker set to auto.	
settings.playerMarker.statusOn	settings	Player marker on.	
settings.playerMarker.statusOff	settings	Player marker off.	
settings.steering.live.motion	settings	Steering changed to device rotation for this race.	
settings.steering.live.manual	settings	Steering changed to the on-screen control for this race.	
settings.steering.live.errorFallback	settings	The steering setting could not be changed.	
settings.steering.live.remainsMotion	settings	{message} Steering remains on device rotation.	
settings.steering.live.remainsManual	settings	{message} Steering remains on the on-screen control.	
trophyRoad.trackLock.cardAria	trophy-road	{rewardName}, locked. Unlocks at {threshold} trophies. Select for unlock information.	
trophyRoad.trackLock.raceAria	trophy-road	Race on {rewardName}, locked. Unlocks at {threshold} trophies.	
trophyRoad.scroll.left.aria	trophy-road	Scroll Trophy Road left	
trophyRoad.scroll.right.aria	trophy-road	Scroll Trophy Road right	
trophyRoad.scroll.aria	trophy-road	Trophy Road. Use arrow keys or the scroll buttons for later rewards.	
trophyRoad.help	trophy-road	Select a reward for details.	
achievements.filters.ariaMulti	achievements	Achievement filters. Choose one or more.	
achievements.filter.waysToPlay	achievements	WAYS TO PLAY	
achievements.filter.exploration	achievements	EXPLORATION	
achievements.filter.racing	achievements	RACING	
achievements.filter.locked	achievements	LOCKED	
achievements.unread.card	achievements	Newly unlocked achievement.	
achievements.hidden.default	achievements	Hidden achievement. The title is your clue.	
