key	surface	english	sv
meta.document.title	metadata	TURN	
meta.description	metadata	TURN is a motion-controlled arcade drift racer. Tilt your device to steer, drift and boost through short tracks, then race your own best laps.	
meta.social.title	metadata	TURN — Tilt. Drift. Boost.	
meta.social.description	metadata	A motion-controlled arcade drift racer. Tilt your device to steer and chase your own best laps.	
meta.social.imageAlt	metadata	TURN game artwork showing a tilted phone with a level racing horizon.	
manifest.name	metadata	TURN	
manifest.description	metadata	A motion-controlled arcade drift racer where you race your own best laps.	
install.brand	install	TURN	
install.pitch	install	TURN is a motion-controlled arcade drift racer. Turn your device to steer and race your own best laps.	
install.primary	install	Install TURN	
install.note	install	Install TURN as a home screen web app for the best fullscreen experience. You can also play here, but it is not recommended.	
install.playBrowser	install	Play in browser anyway	
install.about	install	ABOUT TURN	
install.guide.title	install	Add TURN to your Home Screen	
install.guide.close	install	Close install instructions	
install.build	install	TURN v{version} · Build {build}	
install.copy.addressCopied	install	{appName} address copied	
install.copy.statusCopied	install	Copied. Now open {preferredBrowser} and paste the address.	
install.copy.statusFallback	install	Copy the selected address, then open {preferredBrowser} and paste it into the address bar.	
install.external.sourceNamed	install	You’re viewing {appName} inside {containerName}.	
install.external.sourceGeneric	install	You’re viewing {appName} inside another app.	
install.external.openBrowser	install	Open {appName} in {preferredBrowser}	
install.external.detail	install	{source} Copy the address, then open {preferredBrowser} and paste it into the address bar.	
install.external.copy	install	Copy {appName} address	
install.external.addressLabel	install	{appName} address	
install.ios.safari.share.title	install	In Safari, tap Share	
install.ios.safari.share.detail	install	If Share is not visible, tap … to open the menu, then choose Share.	
install.ios.addHome.title	install	Choose Add to Home Screen	
install.ios.addHome.detail	install	Scroll down in the Share sheet if it is not visible.	
install.openHome.title	install	Open {appName} from your Home Screen	
install.openHome.detail	install	From now on, {appName} opens fullscreen like an app.	
install.ios.browserMenu.ellipsis	install	In {browserName}, tap …, then Share	
install.ios.browserMenu.generic	install	In {browserName}, open the menu, then Share	
install.ios.browserMenu.ellipsisDetail	install	After {appName} opens, tap … and choose Share.	
install.ios.browserMenu.genericDetail	install	After {appName} opens, open the browser menu and choose Share.	
install.android.samsung.menu	install	In Samsung Internet, tap ☰	
install.android.samsung.menuDetail	install	After {appName} opens, tap ☰ to open the browser menu.	
install.android.samsung.add	install	Choose Add page to, then Home screen	
install.android.samsung.addDetail	install	Confirm when Samsung Internet asks.	
install.android.openHome	install	Open {appName} from your Home screen	
install.android.openHomeDetail	install	From now on, {appName} opens in its standalone game view.	
install.android.menu	install	In {browserName}, tap ⋮	
install.android.menuDetail	install	After {appName} opens, tap ⋮ to open the browser menu.	
install.android.install	install	Choose Install {appName}	
install.android.installDetail	install	Depending on the browser, this may be called Add to Home screen.	
install.macos.safari.menu	install	In Safari, open the File menu	
install.macos.safari.menuDetail	install	Choose Add to Dock.	
install.macos.safari.openDock	install	Open {appName} from the Dock	
install.macos.safari.openDockDetail	install	From now on, {appName} opens in its standalone game view.	
install.desktop.menu	install	Open {browserName}’s menu	
install.desktop.menuDetail	install	Choose Install {appName} or Add to Home Screen.	
install.desktop.confirm	install	Confirm the installation	
install.desktop.confirmDetail	install	Your browser will add {appName} to your apps.	
install.desktop.openIcon	install	Open {appName} from the new icon	
install.desktop.openIconDetail	install	{appName} will open in its standalone game view.	
install.note.embedded	install	To install {appName}, open it in {preferredBrowser}. You can still play inside {currentApp}.	
install.note.browser	install	Install {appName} from {browserName} for the best fullscreen experience. You can also play here.	
install.guide.mobileTitle	install	Add {appName} to your Home Screen	
install.guide.desktopTitle	install	Install {appName}	
install.accepted.button	install	{appName} installed	
install.accepted.note	install	Open {appName} from its new Home Screen icon for the fullscreen game.	
install.dismissed.note	install	No problem. You can install {appName} whenever you are ready.	
install.ready.note	install	{browserName} can install {appName} directly.	
install.installed.note	install	Done. Open {appName} from your Home Screen icon.	
install.menu.aria	install	Menu	
startup.kicker	startup	LOADING	
startup.title	startup	YOU’LL BE RACING IN NO TIME	
startup.message.initial	startup	This might take a minute on a new installation…	
startup.message.slow	startup	Still loading TURN. First start can take a little longer.	
startup.message.slower	startup	Still loading TURN. The game will open as soon as it is ready.	
startup.ready	startup	TURN is ready.	
startup.readyPortrait	startup	TURN is ready. Rotate your device to landscape.	
orientation.rotate.aria	startup	Rotate your device to landscape	
orientation.rotate.visible	startup	ROTATE YOUR DEVICE TO LANDSCAPE	
startup.nonVisualOnboarding	startup	Non-visual onboarding. To race, choose a track on Home, then choose a car. For a guided introduction to Drive By Ear and non-visual gameplay, choose Drive By Ear one oh one. The first two links on Home let you replay this introduction or jump directly to Drive By Ear one oh one.	
startup.nonVisualReady	startup	TURN is ready. {onboardingMessage}	
accessibility.shortcuts.aria	accessibility	Accessibility shortcuts	
accessibility.shortcuts.onboarding	accessibility	Non-visual onboarding	
accessibility.shortcuts.training	accessibility	Drive By Ear 101	
hud.speed	race	speed	
hud.speed.unit	race	km/h	
hud.lap	race	lap	
hud.time	race	time	
hud.best	race	best	
hud.map.aria	race	Track map	
hud.tilt.brake	race	brake	
hud.tilt.gas	race	gas	
hud.tilt.neutral	race	neutral	
controls.steering.aria	race	Steering. Drag left or right.	
controls.restartLap	race	Restart Lap	
controls.restartLap.aria	race	Restart the current lap from the start line	
controls.recalibrate	race	Recalibrate	
home.pitch	home	TILT. DRIFT. BEAT YOUR BEST.	
home.menu	home	MENU	
home.settings	home	SETTINGS	
home.howToPlay	home	HOW TO PLAY	
home.chooseTrack	home	CHOOSE YOUR TRACK	
home.scrollTracks.aria	home	Scroll tracks	
home.scrollTracks.previous.aria	home	Scroll to previous tracks	
home.scrollTracks.next.aria	home	Scroll to more tracks	
home.race	home	RACE	
home.race.aria	home	Race on {trackName}	
home.feedback	home	GIVE FEEDBACK	
home.about	home	ABOUT TURN	
home.achievements	home	ACHIEVEMENTS	
home.noTime	home	NO TIME YET	
home.best	home	BEST:	
home.comingSoon	home	COMING SOON	
home.locked	home	LOCKED	
home.trackCard.aria	home	{trackName}, {difficulty} track	
home.trackCard.lockedAria	home	{eyebrow}, {trackName}, locked	
track.countryside.name	tracks	Countryside	
track.countryside.difficulty	tracks	EASY	
track.countryside.eyebrow	tracks	TRACK 1	
track.countryside.description	tracks	Fast, flowing and forgiving.	
track.airport.name	tracks	Airport	
track.airport.difficulty	tracks	MEDIUM	
track.airport.eyebrow	tracks	TRACK 2	
track.airport.description	tracks	Runway speed. Apron precision.	
track.cliffside.name	tracks	Cliffside	
track.cliffside.difficulty	tracks	MEDIUM	
track.cliffside.eyebrow	tracks	TRACK 3	
track.cliffside.description	tracks	Linked curves. Mountain rhythm. Ocean flow.	
track.harbor.name	tracks	Harbor	
track.harbor.difficulty	tracks	HARD	
track.harbor.eyebrow	tracks	TRACK 4	
track.harbor.description	tracks	Switchbacks. Container canyons. Quayside speed.	
track.midnight-city.name	tracks	Midnight City	
track.midnight-city.difficulty	tracks	HARD	
track.midnight-city.eyebrow	tracks	TRACK 5	
track.midnight-city.description	tracks	District avenues. Neon corners. A full-city endurance lap.	
track.mountain.name	tracks	Mountain	
track.mountain.difficulty	tracks	HARD	
track.mountain.eyebrow	tracks	TRACK 6	
track.mountain.description	tracks	Village climb. Snow line. Hairpin descent.	
track.intro.driving	tracks	Driving: {description}	
settings.title	settings	SETTINGS	
settings.close.aria	settings	Close settings	
settings.steering	settings	Steering	
settings.steering.motion	settings	Device rotation	
settings.steering.motionHelp	settings	Turn the whole device like a steering wheel.	
settings.steering.manual	settings	On-screen steering	
settings.steering.manualHelp	settings	Use the steering control or a keyboard.	
settings.steering.unavailable	settings	Device rotation is not available in this browser.	
settings.audio	settings	Audio	
settings.sound	settings	Sound	
settings.sound.help	settings	Turn every TURN sound on or off.	
settings.dbe	settings	Drive By Ear™	
settings.dbe.help	settings	Spatial steering guidance, pace notes, recovery cues and rival warnings.	
settings.balance	settings	Sound balance	
settings.balance.help	settings	Choose between car and world sounds or Drive By Ear guidance.	
settings.balance.other	settings	Other sounds	
settings.balance.dbe	settings	Drive By Ear	
settings.balance.balanced	settings	Balanced	
settings.balance.otherPercent	settings	{percent}% other sounds	
settings.balance.dbePercent	settings	{percent}% Drive By Ear	
settings.status.motion	settings	Steering set to device rotation.	
settings.status.manual	settings	Steering set to the on-screen control.	
settings.status.sound	settings	Sound {state}.	
settings.status.dbeStorage	settings	Drive By Ear could not be changed because local storage is unavailable.	
settings.status.dbeReload	settings	Drive By Ear enabled. Reloading TURN to build its audio system.	
settings.status.dbeOn	settings	Drive By Ear on.	
settings.status.dbeOff	settings	Drive By Ear off.	
settings.status.balance	settings	Sound balance: {balanceLabel}.	
settings.accessibility	settings	Accessibility	
settings.colorCues	settings	Color cues	
settings.colorCues.help	settings	Add text and pattern cues wherever TURN uses color to communicate.	
settings.colorCues.storageError	settings	Color cues could not be changed because local storage is unavailable.	
settings.colorCues.status	settings	Color cues {state}.	
settings.music.volume	settings	Music volume	
settings.music.help	settings	OFF stops the music engine completely.	
settings.music.off	settings	OFF	
settings.music.full	settings	100%	
settings.music.statusOff	settings	Music off.	
settings.music.statusVolume	settings	Music volume {percent}%.	
rivals.heading	rivals	Personal rivals	
rivals.home.description	rivals	Remove every recorded personal rival from every track. To reset only one track, use Settings at that track’s start line.	
rivals.home.reset	rivals	RESET ALL RIVALS	
rivals.home.reset.aria	rivals	Reset personal rivals on all tracks	
rivals.home.target	rivals	ALL TRACKS	
rivals.track.description	rivals	Remove the recorded personal rivals for {trackName}. Rivals on other tracks will be kept.	
rivals.track.reset	rivals	RESET RIVALS	
rivals.track.reset.aria	rivals	Reset personal rivals on {trackName}	
rivals.confirm.question	rivals	Reset rivals on {trackName}?	
rivals.confirm.cancel	rivals	CANCEL	
rivals.confirm.yes	rivals	YES, RESET	
rivals.status.all	rivals	Personal rivals reset on all tracks.	
rivals.status.track	rivals	Personal rivals reset for {trackName}.	
rivals.race.reset	rivals	RESET RIVALS	
rivals.race.reset.aria	rivals	Reset rivals on {trackName}	
rivals.race.confirmHeading	rivals	RESET RIVALS?	
rivals.race.confirmBody	rivals	Remove the saved personal rivals and lap records for {trackName}? Rivals on other tracks will be kept.	
rivals.message.reset	rivals	RIVALS RESET	
race.menu.startActions.aria	race	Start actions	
race.menu.raceActions.aria	race	Race actions	
race.leave	race	Leave Race	
race.leave.aria	race	Leave the race and choose another track	
race.recalibrate	race	Recalibrate	
race.recalibrate.aria	race	Recalibrate steering and tilt controls	
race.settings	race	Settings	
race.settings.aria	race	Open game settings	
race.spectate	race	Spectate	
race.spectate.stop.aria	race	Stop spectating	
race.spectate.next	race	NEXT >	
race.spectate.ghost	race	Ghost	
race.spectate.previous	race	Previous record	
race.spectate.today	race	Today, {time}	
race.recalibrated	race	STEERING + TILT CENTERED	
race.hud.position	race	POSITION	
race.hud.boost	race	BOOST	
race.drivePad.aria	race	Drive control. Double tap and hold, then slide between Drift, Boost, Gas, and Brake or Reverse.	
race.drift	race	Drift	
race.drift.aria	race	Gas and drift	
race.boost	race	Boost	
race.boost.aria	race	Gas and boost	
race.gas	race	Gas	
race.gas.aria	race	Gas	
race.brakeReverse	race	Brake · Reverse	
race.brakeReverse.aria	race	Brake. Hold after stopping to reverse.	
race.boostCharge.aria	race	Boost {percent} percent charged	
blank.idle.aria	accessibility	Blank screen for audio-only driving	
blank.confirm.aria	accessibility	Confirm blank screen	
blank.show.aria	accessibility	Show screen	
blank.screenShownRestore	accessibility	Screen shown. Drive By Ear returned to your chosen setting.	
blank.screenShown	accessibility	Screen shown.	
blank.armOn	accessibility	Tap again to blank the screen. The race and controls will continue.	
blank.armTemporary	accessibility	Tap again to blank the screen. Drive By Ear will turn on temporarily and return to your chosen setting afterwards.	
blank.unavailable	accessibility	Audio-only driving could not start because Drive By Ear is unavailable.	
blank.temporaryOn	accessibility	Drive By Ear is on for audio-only driving. Your chosen setting will return when the screen is shown.	
blank.on	accessibility	Screen blanked. Drive By Ear is on.	
steeringLimit.left	accessibility	Left steering limit reached.	
steeringLimit.right	accessibility	Right steering limit reached.	
steeringLimit.generic	accessibility	Steering limit reached.	
motionDenied.kicker	accessibility	DEVICE ROTATION	
motionDenied.title	accessibility	MOTION ACCESS DENIED	
motionDenied.body	accessibility	You denied motion access. Close and reopen TURN to try again, or use on-screen steering in Settings.	
motionDenied.ok	accessibility	OK	
music.toggle.visible	audio	MUSIC {action}	
music.toggle.aria	audio	Turn music {action}	
raceAudio.open	audio	Audio	
raceAudio.open.aria	audio	Open audio settings	
raceAudio.title	audio	AUDIO	
raceAudio.close.aria	audio	Close audio settings	
raceAudio.sound	audio	Sound	
raceAudio.sound.help	audio	Turn every TURN sound on or off.	
raceAudio.dbe	audio	Drive By Ear™	
raceAudio.dbe.help	audio	Spatial pace notes, predictive steering guidance, recovery cues and rival warnings.	
raceAudio.balance	audio	Sound balance	
raceAudio.balance.help	audio	Keep the middle position for TURN's intended mix, or favour either the driving guidance or the car and world sounds.	
raceAudio.guide.summary	audio	Drive By Ear sound guide	
help.kicker	help	QUICK GUIDE	
help.title	help	HOW TO PLAY	
help.close.aria	help	Close How to Play	
help.1.title	help	Choose a track and car	
help.1.body	help	Your saved best lap appears on each track card. TURN races you against recordings of your own fastest laps, not computer drivers.	
help.2.title	help	Turn the device to steer	
help.2.body	help	Hold the phone or tablet in landscape and rotate it like a steering wheel. Recalibrate at the start line whenever your resting angle changes.	
help.3.title	help	Drive with one thumb	
help.3.body	help	Keep one thumb on the drive area and slide between Gas, Drift and Boost. Brake and Reverse share the separate brake control.	
help.4.title	help	Use Drift and Boost wisely	
help.4.body	help	DRIFT helps the car rotate but costs grip. Holding DRIFT also charges BOOST faster, so a controlled slide can prepare the next burst. BOOST gives speed but can make the next corner harder. Fast laps come from balancing both.	
help.dbe.title	help	Drive By Ear™	
help.dbe.intro	help	Drive By Ear turns the racing line, upcoming corners, grip, surfaces, recovery and nearby rivals into spatial sound. Steer toward the warm guiding hum. Headphones provide the clearest left and right information. Together with a screen reader, it is designed to support complete non-visual play.	
help.dbe.explore	help	Explore the Drive By Ear sounds	
